time_step,susceptible,exposed,infected,recovered,quarantined,vaccinated
33.0,201.66666666666666,44.333333333333336,4.666666666666667,36.0,0.0,0.0
34.0,200.33333333333334,45.666666666666664,4.166666666666667,37.5,0.0,0.0
35.0,199.0,47.0,4.833333333333333,38.0,0.0,0.0
36.0,198.0,48.0,4.833333333333333,39.0,0.0,0.0
37.0,196.5,49.5,4.333333333333333,40.666666666666664,0.0,0.0
38.0,196.5,49.5,4.0,41.833333333333336,0.0,0.0
39.0,196.5,49.5,4.0,42.833333333333336,0.0,0.0
40.0,195.33333333333334,50.666666666666664,4.833333333333333,43.333333333333336,0.0,0.0
41.0,194.66666666666666,51.333333333333336,4.833333333333333,44.166666666666664,0.0,0.0
42.0,194.66666666666666,51.333333333333336,4.666666666666667,45.166666666666664,0.0,0.0
43.0,194.5,51.5,4.333333333333333,46.0,0.0,0.0
44.0,192.66666666666666,53.333333333333336,3.8333333333333335,47.0,0.0,0.0
45.0,192.66666666666666,53.333333333333336,3.3333333333333335,47.833333333333336,0.0,0.0
46.0,192.66666666666666,53.333333333333336,2.5,49.0,0.0,0.0
47.0,191.66666666666666,54.333333333333336,2.1666666666666665,49.833333333333336,0.0,0.0
48.0,191.5,54.5,2.1666666666666665,50.666666666666664,0.0,0.0
49.0,191.33333333333334,54.666666666666664,2.6666666666666665,50.833333333333336,0.0,0.0
50.0,191.16666666666666,54.833333333333336,1.8333333333333333,51.833333333333336,0.0,0.0
51.0,190.16666666666666,55.833333333333336,1.8333333333333333,52.0,0.0,0.0
52.0,190.16666666666666,55.833333333333336,2.0,52.166666666666664,0.0,0.0
53.0,190.16666666666666,55.833333333333336,2.0,52.333333333333336,0.0,0.0
54.0,189.83333333333334,56.166666666666664,1.6666666666666667,53.333333333333336,0.0,0.0
55.0,189.83333333333334,56.166666666666664,1.1666666666666667,53.833333333333336,0.0,0.0
56.0,189.66666666666666,56.333333333333336,1.0,54.0,0.0,0.0
57.0,189.66666666666666,56.333333333333336,1.6666666666666667,54.0,0.0,0.0
58.0,189.16666666666666,56.833333333333336,1.5,54.333333333333336,0.0,0.0
59.0,189.16666666666666,56.833333333333336,1.5,54.666666666666664,0.0,0.0
60.0,189.16666666666666,56.833333333333336,1.3333333333333333,55.166666666666664,0.0,0.0
61.0,188.5,57.5,1.3333333333333333,55.166666666666664,0.0,0.0
62.0,188.16666666666666,57.833333333333336,1.0,55.666666666666664,0.0,0.0
63.0,187.83333333333334,58.166666666666664,1.1666666666666667,56.0,0.0,0.0
64.0,187.66666666666666,58.333333333333336,0.8333333333333334,56.5,0.0,0.0
65.0,187.33333333333334,58.666666666666664,1.0,56.5,0.0,0.0
66.0,187.33333333333334,58.666666666666664,1.3333333333333333,56.833333333333336,0.0,0.0
67.0,187.33333333333334,58.666666666666664,1.1666666666666667,57.166666666666664,0.0,0.0
68.0,187.16666666666666,58.833333333333336,0.5,57.833333333333336,0.0,0.0
69.0,187.16666666666666,58.833333333333336,0.6666666666666666,58.0,0.0,0.0
70.0,187.16666666666666,58.833333333333336,0.5,58.166666666666664,0.0,0.0
71.0,187.16666666666666,58.833333333333336,0.5,58.333333333333336,0.0,0.0
72.0,187.16666666666666,58.833333333333336,0.16666666666666666,58.666666666666664,0.0,0.0
