model,beta,mu,mse_infected,mae_infected,rmse_infected,mape_infected,curve_accuracy,r2_infected,peak_infected_error,time_to_peak_error,final_infected_error,rss_infected,aic_infected,bic_infected,mse_recovered,mae_recovered,r2_recovered,sigma,gamma
SEIR,0.022,,55.55807461873639,5.225490196078431,7.453728906979136,0.221539757317974,0.778460242682026,0.875373411759439,1.9166666666666714,2.0,1.1666666666666665,2833.461805555556,210.88887202295817,216.68434892113115,221.24455337690634,12.434640522875819,0.9620806115033732,0.5,0.18
SEIR,0.022,,119.55861928104575,9.700980392156863,10.93428640932026,0.43482983573469763,0.5651701642653024,0.7318088699437408,14.666666666666671,2.0,3.0,6097.489583333333,249.97414623970752,255.7696231378805,173.34163943355125,10.674836601307192,0.9702907535213966,0.5,0.22
SEIR,0.022,,125.72610294117649,8.073529411764705,11.212765178187604,0.3248300021865953,0.6751699978134047,0.7179741132163668,26.166666666666657,2.0,2.5,6412.031250000001,252.53939348804772,258.3348703862207,805.5462962962963,24.16339869281046,0.8619363844440454,0.75,0.14
SEIR,0.022,,42.02525871459695,5.8218954248366,6.48268915764106,0.36519692207482807,0.6348030779251719,0.9057299114580756,7.5,0.0,3.5,2143.2881944444443,196.65181260961654,202.44728950778952,688.1184640522877,21.800653594771244,0.8820624916101352,0.75,0.18
SEIR,0.022,,115.45431644880173,9.766339869281046,10.744967028744282,0.4885891084771059,0.5114108915228941,0.7410155471477082,8.416666666666671,1.0,3.6666666666666665,5888.170138888889,248.19262108003716,253.98809797821013,494.45206971677567,18.444444444444446,0.9152552239665275,0.75,0.22
SEIR,0.022,,175.8978077342048,8.681372549019606,13.262647086242053,0.31247835208995445,0.6875216479100456,0.6054301052125501,33.33333333333333,2.0,2.166666666666667,8970.788194444445,269.6650626149721,275.4605395131451,887.8739106753811,25.436274509803926,0.8478261487523999,1.0,0.14
SEIR,0.022,,72.61989379084967,7.4330065359477135,8.521730680492647,0.4134376383480929,0.5865623616519071,0.8371007335359791,9.833333333333329,2.0,3.4166666666666665,3703.614583333333,224.5471840760554,230.34266097422838,871.9999999999999,25.18300653594771,0.8505467987149556,1.0,0.18
SEIR,0.022,,180.90842864923746,10.781045751633986,13.450220394076725,0.533680673032212,0.466319326967788,0.5941903962432848,5.333333333333336,4.0,3.9166666666666665,9226.329861111111,271.09754019321105,276.893017091384,791.1275871459695,23.060457516339874,0.8644076255460114,1.0,0.22
SEIR,0.024,,208.96561819172115,12.450980392156865,14.45564312618851,0.5270331696905012,0.4729668303094988,0.5312531574657684,9.916666666666657,4.0,1.166666666666667,10657.24652777778,278.4506563407957,284.2461332389687,300.37813180827885,14.655228758169939,0.9485178057399446,0.28,0.14
SEIR,0.024,,122.14671840958606,8.014705882352942,11.052000651899458,0.28296983120598873,0.7170301687940113,0.7260033058267011,6.666666666666671,5.0,1.9166666666666665,6229.482638888889,251.06636953668368,256.86184643485666,220.48461328976038,12.821895424836601,0.9622108586120989,0.28,0.18
SEIR,0.024,,135.45445261437908,8.552287581699346,11.638490134651448,0.32208368032817136,0.6779163196718286,0.6961517041911711,17.91666666666667,4.0,2.5,6908.177083333333,256.3404074779286,262.13588437610156,130.94798474945537,9.848039215686274,0.977556656510744,0.28,0.22
SEIR,0.024,,97.53669662309369,7.759803921568627,9.876066859995111,0.25519848800912465,0.7448015119908753,0.7812079376074808,11.75,2.0,0.08333333333333348,4974.371527777778,239.59166282350063,245.3871397216736,254.8037854030502,13.287581699346406,0.9563288515733562,0.34,0.14
SEIR,0.024,,49.63310185185185,5.218954248366013,7.045076426260531,0.24967303348052128,0.7503269665194787,0.888664173658989,7.083333333333336,3.0,2.333333333333333,2531.2881944444443,205.13755734617592,210.9330342443489,247.37854030501092,12.6437908496732,0.9576014738786637,0.34,0.18
SEIR,0.024,,156.6533905228758,9.77124183006536,12.516125220006222,0.37985705838525824,0.6201429416147417,0.6485987368864246,19.000000000000007,3.0,2.416666666666667,7989.322916666666,263.7558187161968,269.5512956143698,111.72412854030503,8.61111111111111,0.9808514579459514,0.34,0.22
SEIR,0.024,,107.21275871459694,7.127450980392158,10.354359406288587,0.2490011281742542,0.7509988718257458,0.7595028188764367,24.75,1.0,1.6666666666666665,5467.850694444444,244.4155782301489,250.21105512832187,539.004357298475,19.49183006535948,0.9076193501091228,0.5,0.14
SEIR,0.024,,35.725285947712415,5.308823529411764,5.9770633213738344,0.3419799206151146,0.6580200793848854,0.9198618646859955,2.8333333333333286,1.0,3.5,1821.9895833333333,188.36879512384888,194.16427202202186,635.6800108932463,21.148692810457515,0.8910499855264822,0.5,0.18
SEIR,0.024,,92.40624999999999,8.77941176470588,9.612816964865189,0.4521672972412762,0.5478327027587238,0.7927164368341773,6.333333333333336,2.0,3.5833333333333335,4712.718749999999,236.83592546969027,242.63140236786325,632.4895152505446,20.874183006535947,0.8915968086772709,0.5,0.22
SEIR,0.024,,120.27566721132901,7.524509803921569,10.967026361385706,0.2876342329343054,0.7123657670656947,0.7302004046077943,25.33333333333333,2.0,2.583333333333333,6134.059027777779,250.27910308254124,256.0745799807142,807.4974128540305,24.58823529411765,0.8616019800683188,0.75,0.14
SEIR,0.024,,89.78914760348582,8.227124183006534,9.475713566981952,0.438111423825921,0.5618885761740791,0.7985870604112543,14.166666666666657,1.0,3.8333333333333335,4579.2465277777765,235.37066998048553,241.1661468786585,1094.5802015250545,28.16830065359478,0.812398491764738,0.75,0.18
SEIR,0.024,,110.54459422657952,8.679738562091504,10.514018937902838,0.4666183151145411,0.5333816848854589,0.7520289225024774,0.6666666666666714,2.0,3.6666666666666665,5637.774305555556,245.97636936758937,251.77184626576235,922.9703159041395,25.794117647058822,0.8418109307305707,0.75,0.22
